Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,1.690000,1.700000,1.650000,1.670000,1.670000,16700
2012-01-04,1.680000,1.710000,1.650000,1.660000,1.660000,5600
2012-01-05,1.650000,1.690000,1.650000,1.670000,1.670000,9200
2012-01-06,1.680000,1.690000,1.660000,1.670000,1.670000,9800
2012-01-09,1.720000,1.750000,1.680000,1.750000,1.750000,34500
2012-01-10,1.770000,1.770000,1.730000,1.770000,1.770000,11100
2012-01-11,1.770000,1.960000,1.750000,1.900000,1.900000,60200
2012-01-12,1.960000,2.040000,1.870000,2.020000,2.020000,47800
2012-01-13,1.940000,2.000000,1.850000,1.930000,1.930000,30000
2012-01-17,1.880000,2.000000,1.850000,1.860000,1.860000,38100
2012-01-18,1.900000,1.900000,1.860000,1.900000,1.900000,8400
2012-01-19,1.880000,1.950000,1.880000,1.900000,1.900000,16600
2012-01-20,1.880000,1.990000,1.850000,1.990000,1.990000,17100
2012-01-23,1.990000,1.990000,1.900000,1.990000,1.990000,13400
2012-01-24,1.960000,1.990000,1.860000,1.970000,1.970000,7400
2012-01-25,2.000000,2.000000,1.910000,1.970000,1.970000,11600
2012-01-26,1.940000,2.000000,1.940000,1.970000,1.970000,9000
2012-01-27,1.940000,2.000000,1.920000,1.930000,1.930000,8900
2012-01-30,1.920000,1.990000,1.920000,1.950000,1.950000,9900
2012-01-31,1.930000,1.990000,1.930000,1.950000,1.950000,3400
2012-02-01,1.960000,2.040000,1.930000,1.960000,1.960000,31500
2012-02-02,1.950000,2.020000,1.930000,1.930000,1.930000,20300
2012-02-03,1.920000,2.160000,1.920000,2.010000,2.010000,55000
2012-02-06,1.980000,2.140000,1.950000,2.060000,2.060000,33800
2012-02-07,2.060000,2.130000,2.000000,2.050000,2.050000,14200
2012-02-08,2.110000,2.130000,2.070000,2.100000,2.100000,9900
2012-02-09,2.150000,2.180000,2.110000,2.110000,2.110000,20700
2012-02-10,2.010000,2.080000,1.960000,2.030000,2.030000,62000
2012-02-13,2.110000,2.110000,1.980000,2.050000,2.050000,13700
2012-02-14,2.050000,2.070000,2.020000,2.060000,2.060000,8000
2012-02-15,2.070000,2.400000,2.000000,2.030000,2.030000,153400
2012-02-16,2.130000,2.370000,2.070000,2.140000,2.140000,134800
2012-02-17,2.210000,2.310000,2.150000,2.200000,2.200000,62500
2012-02-21,2.250000,2.350000,2.160000,2.250000,2.250000,15600
2012-02-22,2.320000,2.970000,2.300000,2.940000,2.940000,207400
2012-02-23,3.030000,3.180000,2.450000,2.530000,2.530000,203100
2012-02-24,2.500000,2.650000,2.500000,2.530000,2.530000,50300
2012-02-27,2.460000,2.460000,2.250000,2.260000,2.260000,88000
2012-02-28,2.430000,2.560000,2.320000,2.360000,2.360000,54500
2012-02-29,2.500000,3.200000,2.500000,2.890000,2.890000,416900
2012-03-01,2.960000,3.150000,2.850000,2.980000,2.980000,158500
2012-03-02,2.980000,2.980000,2.710000,2.930000,2.930000,77300
2012-03-05,2.830000,2.940000,2.830000,2.900000,2.900000,29300
2012-03-06,2.810000,3.240000,2.770000,2.980000,2.980000,188600
2012-03-07,2.980000,2.990000,2.790000,2.890000,2.890000,42100
2012-03-08,2.920000,2.970000,2.880000,2.890000,2.890000,16900
2012-03-09,2.900000,3.050000,2.800000,2.870000,2.870000,47100
2012-03-12,2.890000,2.960000,2.810000,2.900000,2.900000,21900
2012-03-13,2.880000,2.890000,2.770000,2.820000,2.820000,21700
2012-03-14,2.840000,2.900000,2.780000,2.840000,2.840000,13500
2012-03-15,2.810000,2.850000,2.810000,2.840000,2.840000,7000
2012-03-16,2.820000,2.850000,2.760000,2.850000,2.850000,22500
2012-03-19,2.800000,2.810000,2.710000,2.780000,2.780000,30300
2012-03-20,2.740000,2.740000,2.650000,2.670000,2.670000,19800
2012-03-21,2.630000,2.670000,2.540000,2.610000,2.610000,26400
2012-03-22,2.550000,2.550000,2.440000,2.470000,2.470000,33400
2012-03-23,2.460000,2.710000,2.420000,2.470000,2.470000,29500
2012-03-26,2.450000,2.460000,2.370000,2.460000,2.460000,31000
2012-03-27,2.430000,2.510000,2.350000,2.400000,2.400000,30500
2012-03-28,2.400000,2.420000,2.220000,2.370000,2.370000,47200
2012-03-29,2.390000,2.420000,2.290000,2.350000,2.350000,17400
2012-03-30,2.350000,2.420000,2.300000,2.370000,2.370000,13100
2012-04-02,2.370000,2.400000,2.330000,2.360000,2.360000,13400
2012-04-03,2.320000,2.360000,2.300000,2.350000,2.350000,10600
2012-04-04,2.340000,2.340000,2.290000,2.300000,2.300000,14100
2012-04-05,2.290000,2.290000,2.150000,2.190000,2.190000,29500
2012-04-09,2.150000,2.180000,2.040000,2.110000,2.110000,25500
2012-04-10,2.100000,2.100000,2.000000,2.070000,2.070000,17400
2012-04-11,2.040000,2.190000,2.040000,2.190000,2.190000,34200
2012-04-12,2.230000,2.390000,2.110000,2.350000,2.350000,35600
2012-04-13,2.350000,2.830000,2.340000,2.500000,2.500000,211600
2012-04-16,2.420000,2.500000,2.350000,2.410000,2.410000,23100
2012-04-17,2.470000,2.470000,2.150000,2.210000,2.210000,27300
2012-04-18,2.190000,2.600000,2.160000,2.310000,2.310000,38300
2012-04-19,2.360000,2.440000,2.350000,2.350000,2.350000,11300
2012-04-20,2.390000,2.410000,2.340000,2.410000,2.410000,6900
2012-04-23,2.420000,2.420000,2.250000,2.300000,2.300000,20800
2012-04-24,2.270000,2.500000,2.270000,2.350000,2.350000,14300
2012-04-25,2.330000,2.410000,2.190000,2.220000,2.220000,17600
2012-04-26,2.330000,2.340000,2.330000,2.330000,2.330000,1600
2012-04-27,2.340000,2.340000,2.270000,2.300000,2.300000,8500
2012-04-30,2.290000,2.350000,2.290000,2.290000,2.290000,1100
2012-05-01,2.300000,2.340000,2.170000,2.230000,2.230000,16000
2012-05-02,2.220000,2.230000,2.140000,2.200000,2.200000,7100
2012-05-03,2.200000,2.240000,2.200000,2.200000,2.200000,7800
2012-05-04,2.200000,2.250000,2.190000,2.200000,2.200000,7900
2012-05-07,2.240000,2.240000,2.140000,2.150000,2.150000,3100
2012-05-08,2.150000,2.240000,2.140000,2.240000,2.240000,18000
2012-05-09,2.240000,2.240000,2.140000,2.210000,2.210000,8100
2012-05-10,2.230000,2.250000,2.150000,2.150000,2.150000,14000
2012-05-11,2.190000,2.200000,2.000000,2.070000,2.070000,42700
2012-05-14,2.040000,2.080000,1.940000,1.940000,1.940000,13200
2012-05-15,1.940000,2.010000,1.870000,1.980000,1.980000,13000
2012-05-16,1.970000,2.020000,1.870000,1.870000,1.870000,13200
2012-05-17,1.870000,1.900000,1.830000,1.850000,1.850000,11000
2012-05-18,1.940000,1.940000,1.680000,1.680000,1.680000,45900
2012-05-21,1.700000,1.970000,1.700000,1.720000,1.720000,27300
2012-05-22,1.740000,1.850000,1.740000,1.820000,1.820000,3700
2012-05-23,1.810000,1.910000,1.750000,1.910000,1.910000,28000
2012-05-24,2.000000,2.150000,2.000000,2.150000,2.150000,68800
2012-05-25,2.180000,2.280000,2.110000,2.110000,2.110000,15600
2012-05-29,2.200000,2.250000,2.160000,2.240000,2.240000,16200
2012-05-30,2.250000,2.250000,2.180000,2.220000,2.220000,9100
2012-05-31,2.230000,2.230000,1.970000,2.140000,2.140000,22700
2012-06-01,2.120000,2.120000,1.990000,2.030000,2.030000,7500
2012-06-04,2.090000,2.090000,1.900000,1.920000,1.920000,33100
2012-06-05,1.910000,1.950000,1.910000,1.910000,1.910000,2700
2012-06-06,1.920000,2.000000,1.910000,2.000000,2.000000,10100
2012-06-07,2.010000,2.100000,1.900000,1.930000,1.930000,20800
2012-06-08,1.960000,1.980000,1.850000,1.900000,1.900000,15800
